"Add to Cart","Add to Basket"
"Add To Cart","Add To Basket"
"Check items to add to the cart or","Check items to add to the Basket or"
"We can't add the product to the cart because of an option validation issue.","We can't add the product to the Basket because of an option validation issue."
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","These ""impulse-buy"" products appear next to the Basket as cross-sells to the items already in the Basket."
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Basket"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Basket"
"Shopping Cart","Basket"
"Are you sure you want to delete all items from shopping cart?","Are you sure you want to delete all items from the Basket?"
"Clear Shopping Cart","Clear Basket"
"We can't add this item to your shopping cart right now.","We can't add this item to your Basket right now."
"We could not add a product to cart by the ID ""%1"".","We could not add a product to Basket by the ID ""%1""."
"Move to Shopping Cart","Move to Basket"
"Related Products", "You may also like"
"My Cart","My Basket"
"We can't add this item to your shopping cart right now.","We can't add this item to your Basket right now."
"Display number of items in cart","Display number of items in Basket"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty Basket"
"Shopping Cart Items","Basket Items"
"Clear Shopping Cart","Clear Basket"
"Update Shopping Cart","Update Basket"
"Update Cart","Update Basket"
"You have no items in your shopping cart.","You have no items in your Basket."
"Edit Your Cart","Edit Your Basket"
"View and Edit Cart","View and Edit Basket"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the Basket?"
"Are you sure you want to remove all items from your shopping cart?","Are you sure you want to remove all items from your Basket?"
"Mini Cart","Mini Basket"
"Item in Cart","Item in Basket"
"Items in Cart","Items in Basket"
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">Basket</a>."
"Shopping Basket Items", "Basket Items"
"Clear Shopping Basket", "Clear Basket"
"Update Shopping Basket", "Update Basket"
"State/Province","County"
"Zip/Postal Code","Postcode"
"My Cart (1 item)","My Basket (1 item)"
"My Cart (%1 items)","My Basket (%1 items)"
"You added %1 to your shopping cart.","You added %1 to your Basket."
"We can't add this item to your shopping cart right now.","We can't add this item to your Basket right now."
"%1 was updated in your shopping cart.","%1 was updated in your Basket."
"We can't update the shopping cart.","We can't update the Basket."
"Display number of items in cart","Display number of items in Basket"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty Basket"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty Basket"
"Shopping Cart Items","Basket Items"
"Clear Shopping Cart","Clear Basket"
"Update Shopping Cart","Update Basket"
"Update Cart","Update Basket"
"You have no items in your shopping cart.","You have no items in your Basket."
"Estimate Tax","Estimate VAT"
"Estimate Shipping and Tax","Estimate Shipping and VAT"
"Excl. Tax","ex. VAT"
"Incl. Tax","inc. VAT"
"Tax","VAT"
"tax","VAT"
"Cart Subtotal","Basket Subtotal"
"Edit Your Cart","Edit Your Basket"
"View and Edit Cart","View and Edit Basket"
"Provided Zip/Postal Code seems to be invalid.","Provided Postcode seems to be invalid."
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the Basket?"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Basket"
"Enable Clear Shopping Cart","Enable Clear Basket"
"Are you sure you want to remove all items from your shopping cart?","Are you sure you want to remove all items from your Basket?"
"Number of Items to Display Pager","Number of Items to Display Pager"
"My Cart Link","My Basket Link"
"Display Cart Summary","Display Basket Summary"
"Mini Cart","Mini Basket"
"Display Mini Cart","Display Mini Basket"
"Item in Cart","Item in Basket"
"Items in Cart","Items in Basket"
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Basket"
"Proceed to Checkout Quote","Proceed to Checkout"
"Out of Stock","Out of Stock – Subject to Manufacturer’s Availability"
"Sorry, no quotes are available for this order at this time", "Please request a quote so that we can check delivery charges to this location."
"Out of Stock","Out of Stock – Subject to Manufacturer’s Availability"
